"Catalogo de sismos - Servicio Sismologico Nacional (SSN) | UNAM - Mexico. DOI: 10.21766/SSNMX/EC/MX"
"Informacion sujeta a cambios. Archivo generado el 2026-04-08 a las 23:22:14 (tiempo del centro de Mexico)."
"Sismicidad del 1990-01-01 al 2024-12-31, todas las magnitudes, todas las profundidades, en Ciudad de Mexico."
"Total: 438 eventos."
Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
1990-02-12,05:47:49,3.5,19.37,-99.2,4.0,"3 km al SUR de V ALVARO OBREGON, CDMX",1990-02-12,11:47:49,revisado
1990-03-17,18:49:18,3.2,19.22,-99.18,5.0,"3 km al ESTE de S MIGUEL AJUSCO, CDMX",1990-03-18,00:49:18,revisado
1990-04-22,06:37:53,3.3,19.37,-99.3,6.0,"2 km al SUROESTE de CUAJIMALPA, CDMX",1990-04-22,12:37:53,revisado
1991-08-18,07:18:12,3.8,19.33,-99.24,1.0,"3 km al OESTE de LA MAGDALENA C, CDMX",1991-08-18,13:18:12,revisado
1993-08-04,16:29:35,3.3,19.27,-99.02,12.0,"4 km al NOROESTE de S JUAN IXTAYOPAN, CDMX",1993-08-04,22:29:35,revisado
1994-02-01,17:21:38,3.8,19.47,-99.08,13.0,"4 km al SURESTE de GUSTAVO A. MADERO, CDMX",1994-02-01,23:21:38,revisado
1995-12-31,21:23:35,2.9,19.17,-98.98,11.0,"5 km al SURESTE de MILPA ALTA, CDMX",1996-01-01,03:23:35,revisado
1996-09-25,03:29:48,3.2,19.44,-99.1,6.0,"3 km al NORESTE de VENUSTIANO CARRANZA, CDMX",1996-09-25,08:29:48,revisado
1997-09-20,08:43:41,3.4,19.27,-99.17,7.0,"3 km al OESTE de XOCHIMILCO, CDMX",1997-09-20,13:43:41,revisado
1998-02-08,19:14:32,2.6,19.36,-99.19,11.0,"3 km al NOROESTE de COYOACAN, CDMX",1998-02-09,01:14:32,revisado
1998-08-18,11:27:33,2.9,19.18,-98.95,10.0,"5 km al SURESTE de S ANDRES MIXQUIC, CDMX",1998-08-18,16:27:33,revisado
1998-08-18,13:52:49,2.9,19.19,-98.99,3.0,"3 km al SUR de S ANTONIO TECOMITL, CDMX",1998-08-18,18:52:49,revisado
1998-09-08,17:19:57,3.2,19.46,-99.05,5.0,"7 km al SURESTE de GUSTAVO A. MADERO, CDMX",1998-09-08,22:19:57,revisado
1998-09-25,20:01:40,2.3,19.4,-99.06,13.0,"4 km al ESTE de IZTACALCO, CDMX",1998-09-26,01:01:40,revisado
1999-01-28,17:56:13,2.7,19.44,-99.21,9.0,"4 km al NOROESTE de MIGUEL HIDALGO, CDMX",1999-01-28,23:56:13,revisado
1999-04-06,07:20:04,2.8,19.38,-99.09,13.0,"2 km al SURESTE de IZTACALCO, CDMX",1999-04-06,12:20:04,revisado
